case_id,collision_date,collision_time,day_of_week,m_primaryrd,m_secondrd,distance,direction,point_x,point_y,collision_severity,number_injured,number_killed,ptyatfault,pcf_viol_category,hit_and_run,type_of_collision,mviw,ped_action,pcf_violation,weather_1,weather_2,road_surface,road_cond_1,road_cond_2,lighting,control_device,partytype1,party_age1,party_sex1,party_dir1,movement1,sobriety1,drug1,veh_type1,veh_year1,veh_make1,safety_eq1,partytype2,party_age2,party_sex2,party_dir2,movement2,sobriety2,drug2,veh_type2,veh_year2,veh_make2,safety_eq2,partytype3,party_age3,party_sex3,party_dir3,movement3,sobriety3,drug3,veh_type3,veh_year3,veh_make3,safety_eq3
8727359,2/13/19,2310,Wednesday,FIGUEROA ST,WILSHIRE BLVD,0,Not Stated,-118.2592621,34.05004501,Other Visible Injury,1,0,2,Automobile Right of Way,No,Not Stated,Bicycle,No Pedestrian Involved,21804,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,29,Male,North,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2007,HONDA,Air Bag Not Deployed,Bicyclist,59,Male,South,Traveling Wrong Way,Had Not Been Drinking,Not Stated,Bicycle,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8764913,12/6/18,1430,Thursday,FIGUEROA ST,ADAMS BLVD,230,North,-118.2756874,34.02871323,Property Damage Only,0,0,1,Unsafe Speed,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,22350,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Daylight,None,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Parked Vehicle,998,Not Stated,North,Parked,Not Applicable,Not Applicable,Emergency Vehicle,2016,FORD,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8776974,11/30/18,1125,Friday,FIGUEROA ST,8TH ST,190,North,-118.2608657,34.04835129,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22350,Clear,Not Stated,Not Stated,No Unusual Condition,Not Stated,Daylight,None,Driver,50,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2016,SUBARU,Air Bag Not Deployed,Driver,37,Female,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,HYUNDAI,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8786807,12/23/18,2500,Sunday,FIGUEROA ST,8TH PL,20,North,-118.2622159,34.04685211,Property Damage Only,0,0,1,Unsafe Starting or Backing,Misdemeanor,Rear End,Parked Motor Vehicle,No Pedestrian Involved,22106,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Not Stated,None,Driver,998,Not Stated,South,Backing,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Parked Vehicle,998,Not Stated,North,Parked,Not Applicable,Not Applicable,Passenger Car/Station Wagon,2017,HONDA,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8786923,1/1/19,25,Tuesday,FIGUEROA ST,11TH ST,57,North,-118.265091,34.04380035,Other Visible Injury,1,0,2,Pedestrian Violation,No,Vehicle / Pedestrian,Pedestrian,Crossing not at Crosswalk,21955,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,28,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2007,TOYOTA,Air Bag Not Deployed,Pedestrian,22,Male,East,Proceeding Straight,"Had Been Drinking, Impairment Unknown",Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8787040,12/25/18,2315,Tuesday,FIGUEROA ST,8TH ST,261,South,-118.2617508,34.04735947,Complaint of Pain,1,0,2,Pedestrian Violation,Felony,Vehicle / Pedestrian,Pedestrian,Crossing not at Crosswalk,21954,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Pedestrian,34,Male,West,Not Stated,"Had Been Drinking, Under Influence",Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8788653,12/2/18,230,Sunday,8TH ST,FIGUEROA ST,0,Not Stated,-118.2612421,34.04793549,Complaint of Pain,1,0,1,Pedestrian Right of Way,Felony,Vehicle / Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,21950,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,52,Male,North,Making Left Turn,Impairment Unknown,Impairment Unknown,Not Stated,2013,LEXUS,Not Stated,Pedestrian,25,Male,North,Not Stated,Had Not Been Drinking,Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8793056,2/10/19,1830,Sunday,ADAMS BLVD,FIGUEROA ST,0,Not Stated,-118.2760422,34.02815628,Complaint of Pain,2,0,2,Automobile Right of Way,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - No Street Lights,Functioning,Driver,998,Not Stated,East,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,19,Female,West,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2012,BMW,Passive Restraint Not Used,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8794063,2/13/19,2045,Wednesday,FIGUEROA ST,FIGUEROA WAY,0,Not Stated,-118.2749022,34.02994537,Complaint of Pain,1,0,1,Unsafe Speed,Felony,Broadside,Bicycle,No Pedestrian Involved,22350,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,26,Male,West,Merging,Impairment Unknown,Impairment Unknown,Passenger Car/Station Wagon,2019,CADILLAC,Air Bag Not Deployed,Bicyclist,26,Male,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Bicycle,,-,Not Stated
8796257,1/14/19,930,Monday,FIGUEROA ST,8TH ST,200,North,-118.2608455,34.04837418,Property Damage Only,0,0,1,Unsafe Speed,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22350,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Daylight,None,Driver,47,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,TOYOTA,Air Bag Not Deployed,Driver,31,Male,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2019,GMC,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8796376,12/26/18,1450,Wednesday,FIGUEROA ST,11TH ST,0,Not Stated,-118.2652021,34.04367447,Property Damage Only,0,0,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,78,Female,West,Making Right Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2012,TOYOTA,Air Bag Not Deployed,Driver,64,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Other Bus,2015,OTHER - BUS,Not Required,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8798864,1/24/19,1540,Thursday,FIGUEROA ST,8TH ST,162,North,-118.2609221,34.04829025,Property Damage Only,0,0,1,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,998,Not Stated,North,Changing Lanes,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,61,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2016,TOYOTA,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8799653,12/26/18,1830,Wednesday,FIGUEROA ST,23RD ST,160,North,-118.2741144,34.03116226,Complaint of Pain,1,0,1,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,29,Male,North,Making Right Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2003,TOYOTA,Air Bag Not Deployed,Driver,36,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Motorcycle/Scooter,,-,Not Required,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8799997,1/31/19,2345,Thursday,FIGUEROA WAY,FIGUEROA ST,0,Not Stated,-118.2749022,34.02994537,Complaint of Pain,1,0,1,Automobile Right of Way,Felony,Broadside,Other Object,No Pedestrian Involved,21802,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,998,Not Stated,South,Making Right Turn,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Other,998,Not Stated,South,Proceeding Straight,Had Not Been Drinking,Not Stated,Not Stated,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8806296,1/17/19,1410,Thursday,FIGUEROA ST,7TH ST,250,South,-118.2604081,34.04884338,Complaint of Pain,1,0,1,Following Too Closely,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,21703,Clear,Not Stated,Wet,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,32,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2010,FORD,Air Bag Not Deployed,Driver,22,Female,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2019,KIA,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8806753,1/13/19,930,Sunday,FIGUEROA ST,WILSHIRE BLVD,0,Not Stated,-118.2592621,34.05004501,Other Visible Injury,2,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,Cloudy,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,31,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2011,FORD,Air Bag Not Deployed,Driver,28,Female,East,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2011,BMW,Air Bag Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8807048,2/9/19,645,Saturday,FIGUEROA ST,7TH ST,15,South,-118.2599327,34.04935074,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22350,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Daylight,None,Driver,20,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2013,FORD,Air Bag Not Deployed,Driver,36,Male,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2015,NISSAN,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8807785,1/25/19,850,Friday,9TH ST,FIGUEROA ST,0,Not Stated,-118.2628222,34.04620361,Property Damage Only,0,0,,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,998,Not Stated,East,Making Left Turn,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,39,Female,East,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2000,TOYOTA,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8810017,1/23/19,1720,Wednesday,FIGUEROA ST,WASHINGTON BLVD,89,South,-118.2722005,34.03414917,Complaint of Pain,1,0,1,Unsafe Starting or Backing,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22106,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,None,Driver,77,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,1993,MITSUBISHI,Air Bag Not Deployed,Driver,30,Male,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2014,KIA,Air Bag Not Deployed,Driver,24,Female,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2018,TOYOTA,Air Bag Not Deployed
8810033,1/26/19,1820,Saturday,FIGUEROA ST,20TH ST,0,Not Stated,-118.2729622,34.03296661,Complaint of Pain,3,0,1,Unsafe Lane Change,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,20,Female,South,Changing Lanes,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,1998,MERCURY,Air Bag Not Deployed,Driver,22,Male,South,Proceeding Straight,Had Not Been Drinking,Not Stated,Motorcycle/Scooter,2009,HARLEY-DAVIDSON,Not Required,Driver,24,Male,South,Proceeding Straight,Had Not Been Drinking,Not Stated,Motorcycle/Scooter,2013,YAMAHA,Not Required
8820529,3/14/19,1910,Thursday,FIGUEROA ST,ADAMS BLVD,200,North,-118.2757337,34.02864075,Complaint of Pain,1,0,1,Automobile Right of Way,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21804,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,31,Male,North,Making Right Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,CHEVROLET,Air Bag Not Deployed,Driver,17,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,NISSAN,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8820990,2/12/19,1915,Tuesday,FIGUEROA ST,OLYMPIC BLVD,0,Not Stated,-118.2639721,34.04497528,Complaint of Pain,1,0,1,Following Too Closely,Felony,Rear End,Other Motor Vehicle,No Pedestrian Involved,21703,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,59,Male,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2001,HONDA,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8821567,2/27/19,1615,Wednesday,FIGUEROA ST,18TH ST,20,South,-118.271423,34.03536606,Complaint of Pain,1,0,1,Improper Turning,No,Broadside,Bicycle,No Pedestrian Involved,22107,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,35,Female,North,Making Right Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2016,VOLKSWAGEN,Air Bag Not Deployed,Bicyclist,35,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Bicycle,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8821571,2/20/19,1545,Wednesday,FIGUEROA ST,WASHINGTON BLVD,200,North,-118.2717523,34.03484726,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22350,Cloudy,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,36,Male,South,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2019,KIA,Air Bag Not Deployed,Driver,34,Male,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2018,NISSAN,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8823447,2/28/19,2120,Thursday,FIGUEROA ST,9TH ST,336,South,-118.2635009,34.04547882,Complaint of Pain,1,0,,Unsafe Starting or Backing,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22106,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,37,Male,North,Backing,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2016,NISSAN,Air Bag Not Deployed,Driver,50,Male,North,Slowing / Stopping,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2016,INFINITI,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8823503,2/26/19,900,Tuesday,FIGUEROA ST,WASHINGTON BLVD,200,North,-118.2717523,34.03484726,Complaint of Pain,1,0,1,Unsafe Lane Change,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,52,Male,North,Changing Lanes,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,TOYOTA,Air Bag Not Deployed,Driver,61,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,1982,HONDA,Not Required,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8829643,2/21/19,1550,Thursday,FIGUEROA ST,22ND ST,15,South,-118.2738659,34.03153992,Property Damage Only,0,0,1,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,998,Not Stated,North,Changing Lanes,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,46,Male,North,Stopped,Had Not Been Drinking,Not Stated,Pickup or Panel Truck,2011,FORD,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8829670,2/1/19,740,Friday,WASHINGTON BLVD,FIGUEROA ST,0,Not Stated,-118.2720621,34.03436661,Complaint of Pain,2,0,1,Automobile Right of Way,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,None,Driver,37,Male,East,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2007,HYUNDAI,Air Bag Not Deployed,Driver,22,Male,West,Proceeding Straight,Had Not Been Drinking,Not Stated,Pickup or Panel Truck,1998,FORD,Air Bag Deployed,Driver,44,Female,West,Stopped,Had Not Been Drinking,Not Stated,Other Bus,2009,OTHER - BUS,Not Required
8830294,1/31/19,1830,Thursday,VENICE BLVD,FIGUEROA ST,0,Not Stated,-118.2700821,34.03746414,Property Damage Only,0,0,,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,998,Not Stated,West,Proceeding Straight,Had Not Been Drinking,Not Stated,Not Stated,    ,-,Not Stated,Driver,40,Female,West,Proceeding Straight,"Had Been Drinking, Impairment Unknown",Not Stated,Passenger Car/Station Wagon,2019,KIA,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8833673,3/11/19,1245,Monday,FIGUEROA ST,WILSHIRE BLVD,57,South,-118.2593792,34.04992294,Property Damage Only,0,0,1,Other Hazardous Violation,No,Hit Object,Parked Motor Vehicle,No Pedestrian Involved,22517,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Driver,53,Female,North,Parked,Had Not Been Drinking,Not Stated,Other Bus,2015,GILLIG (BUS),Air Bag Not Deployed,Parked Vehicle,998,Not Stated,North,Parked,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2004,HONDA,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8837959,2/14/19,945,Thursday,FIGUEROA ST,7TH ST,200,South,-118.2603073,34.04895401,Property Damage Only,0,0,1,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22107,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Daylight,None,Driver,68,Male,North,Changing Lanes,Had Not Been Drinking,Not Stated,Truck or Truck Tractor,2017,FREIGHTLINER,Air Bag Not Deployed,Driver,83,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2012,HONDA,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
